Gold (OG|GC) G3WH6 (0.89 DTE) vs 5005 (+2.8) - Open Interest
Put: 1,405  Call: 1,113  Vol: 22.86  Vol Chg: -5.70  Future Chg: 2.8
Strike,Call,Put,Vol Settle
4840,0,0,0.3763970647983115
4845,0,0,0.37283489918604573
4850,0,104,0.3693054669136018
4855,0,1,0.36581086587648315
4860,0,0,0.36235316250485994
4865,0,6,0.3589343917581118
4870,0,20,0.3555565571348325
4875,0,5,0.35222163065714085
4880,0,0,0.3489315528847783
4885,0,50,0.34568823291215267
4890,0,1,0.34249354836128987
4895,0,3,0.33934934539161077
4900,0,36,0.3362574386910637
4905,0,3,0.333219611482491
4910,0,0,0.33023761552203723
4915,0,1,0.32731317109505653
4920,0,15,0.3244479670242981
4925,0,101,0.3216436606617208
4930,0,10,0.3189018778919035
4935,0,2,0.31622421313431914
4940,0,1,0.3136122293394692
4945,0,4,0.31106745799002056
4950,0,37,0.3085913991030793
4955,0,2,0.30618552122473375
4960,0,138,0.3038512614384672
4965,0,0,0.3015900253581094
4970,5,2,0.2994031871289735
4975,5,10,0.29729208943081176
4980,0,5,0.2952580434753145
4985,1,3,0.29330232900724695
4990,1,4,0.2914261943026304
4995,0,4,0.2896308561707883
5000,8,131,0.2879174999575298
5005,0,60,0.2862872795308249
5010,1,2,0.28474131730422414
5015,8,1,0.2832807042143486
5020,0,6,0.28190649973589643
5025,0,14,0.2806197318716386
5030,0,1,0.2794213971608315
5035,2,6,0.2783124606776255
5040,2,0,0.277293856018332
5045,1,0,0.27636648532347863
5050,26,41,0.2755312192591646
5055,2,5,0.2747888970270651
5060,11,0,0.2741403263614757
5065,10,0,0.2735862835268108
5070,11,19,0.2731275133244253
5075,5,54,0.27276472908533833
5080,11,12,0.27249861267205233
5085,2,16,0.2723298144808268
5090,16,5,0.27225895344440687
5095,5,10,0.2722866170211091
5100,54,110,0.2724133612080095
5105,10,0,0.27263971053002933
5110,6,4,0.27296615804698376
5115,0,1,0.2733931653549462
5120,8,1,0.27392116257465204
5125,18,5,0.27455054836855197
5130,12,0,0.2752816899210302
5135,0,1,0.2761149229577313
5140,17,1,0.27705055173464643
5145,14,0,0.278088849041751
5150,120,34,0.2792300561959564
5155,10,0,0.2804743830511143
5160,5,0,0.2818220079961975
5165,2,1,0.2832730779475696
5170,2,0,0.2848277083571702
5175,21,2,0.28648598320796737
